GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
springboot-program,com.statit.backend.dto,LeaderboardEntry,0,24,0,0,0,1,0,1,0,1
springboot-program,com.statit.backend.dto,UserCreateRequest,0,18,0,0,0,1,0,1,0,1
springboot-program,com.statit.backend.dto,UserResponse,0,41,0,0,0,8,0,2,0,2
springboot-program,com.statit.backend.dto,ScoreInfoResponse,0,54,0,0,0,1,0,1,0,1
springboot-program,com.statit.backend.dto,ScoreSubmitRequest,0,18,0,0,0,1,0,1,0,1
springboot-program,com.statit.backend.dto,CategoryListResponse,0,15,0,0,0,1,0,1,0,1
springboot-program,com.statit.backend.dto,GlobalBaselineResponse,0,57,0,0,0,12,0,2,0,2
springboot-program,com.statit.backend.dto,CategoryResponse,0,46,0,0,0,9,0,2,0,2
springboot-program,com.statit.backend.dto,ScoreFilterRequest,0,6,0,0,0,1,0,1,0,1
springboot-program,com.statit.backend.dto,LeaderboardResponse,0,101,0,4,0,20,0,4,0,2
springboot-program,com.statit.backend.dto,LeaderboardSnapshotResponse,0,12,0,0,0,1,0,1,0,1
springboot-program,com.statit.backend.dto,ScoreResponse,0,72,0,4,0,11,0,4,0,2
springboot-program,com.statit.backend.dto,CategoryCreateRequest,0,21,0,0,0,1,0,1,0,1
springboot-program,com.statit.backend.service,ScoreService,169,734,26,62,21,146,25,42,2,21
springboot-program,com.statit.backend.service,CategoryService,0,140,0,2,0,31,0,11,0,10
springboot-program,com.statit.backend.service,UserService,0,217,0,18,0,42,0,20,0,11
springboot-program,com.statit.backend.controller,ScoreController,0,95,0,2,0,26,0,7,0,6
springboot-program,com.statit.backend.controller,UserController,0,113,0,2,0,32,0,7,0,6
springboot-program,com.statit.backend.controller,CategoryController,0,150,0,4,0,39,0,8,0,6
springboot-program,com.statit.backend.controller,LeaderboardController,0,136,0,4,0,30,0,7,0,5
springboot-program,com.statit.backend.controller,GlobalExceptionHandler,0,24,0,2,0,7,0,4,0,3
springboot-program,com.statit.backend.model,GlobalBaseline,0,171,0,4,0,48,0,26,0,24
springboot-program,com.statit.backend.model,User,0,128,0,8,0,31,0,21,0,17
springboot-program,com.statit.backend.model,Score,0,95,0,4,0,26,0,14,0,12
springboot-program,com.statit.backend.model,Category,0,133,0,10,0,35,0,22,0,17
springboot-program,com.statit.backend,BackendApplication,5,3,0,0,2,1,1,1,1,1
